X,Y,DCGISPLACE_NAMES_PTNAME,DCGISADDRESSES_PTADDRESS,DCGISADDRESSES_PTWARD,MARVW_PLACE_NAME_CATEGORIESCATEGORY,DCGISPLACE_NAMES_PTSTATUS,DCGISPLACE_NAMES_PTPLACE_NAME_ID,DCGISPLACE_NAMES_PTMAR_ID,DCGISPLACE_NAMES_PTBEFORE_DATE,DCGISPLACE_NAMES_PTBEFORE_DATE_SOURCE,DCGISPLACE_NAMES_PTBEGIN_DATE,DCGISPLACE_NAMES_PTBEGIN_DATE_SOURCE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE_SOURCE,DCGISPLACE_NAMES_PTCREATED_DATE,DCGISPLACE_NAMES_PTCREATED_USER,DCGISPLACE_NAMES_PTLAST_EDITED_DATE,DCGISPLACE_NAMES_PTLAST_EDITED_USER,DCGISPLACE_NAMES_PTSE_ANNO_CAD_DATA,DCGISPLACE_NAMES_PTOBJECTID,DCGISADDRESSES_PTOBJECTID,DCGISADDRESSES_PTSE_ANNO_CAD_DATA,DCGISADDRESSES_PTSMD,DCGISADDRESSES_PTANC
-77.0037567247783,38.8922719597704,BELMONT-PAUL WOMENS EQUALITY NATIONAL MONUMENT,144 CONSTITUTION AVENUE NE,Ward 6,MUSEUM / ZOO,ACTIVE,16708,286201,,,,,,,2018/11/16 09:44:27+00,DAVID,,,,658284,6885040,,SMD 6C02,ANC 6C
-77.0341591442019,38.9083637038878,U.S. DAUGHTERS OF 1812 - 1812 LIBRARY AND MUSEUM,1463 RHODE ISLAND AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,11232,240224,,,,,,,2011/09/15 13:20:46+00,DARREN,,,,658452,6910019,,SMD 2F03,ANC 2F
-77.0355112137744,38.9065101932922,1500 MASS APARTMENTS,1500 MASSACHUSETTS AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,12135,242324,,,,,,,2012/07/23 13:18:27+00,OCTO GIS DBA,,,,658544,6873951,,SMD 2C02,ANC 2C
-77.0355065968507,38.9324381472643,POWHATAN MUSEUM,1519 MONROE STREET NW,Ward 1,MUSEUM / ZOO,ACTIVE,15646,234557,,,,,,,2016/07/18 10:40:55+00,DAVID,,,,658687,6882541,,SMD 1A05,ANC 1A
-77.0359467320217,38.9004498692013,ST. JOHN'S PARISH HOUSE,1525 H STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,8200,218329,,,,,,,2007/05/10 10:21:54+00,OCTO GIS,,,,658727,6783002,,SMD 2C02,ANC 2C
-77.0468545516689,38.9115097908593,THE PHILLIPS COLLECTION,1600 21ST STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,15352,243333,,,,,,,2016/05/12 10:26:06+00,DAVID,,,,658897,6840244,,SMD 2B02,ANC 2B
-77.0468545516689,38.9115097908593,PHILLIPS COLLECTION,1600 21ST STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,7577,243333,,,,,,,2006/08/13 16:48:39+00,OCTO GIS,2008/10/17 18:34:54+00,OCTO GIS DBA,,658898,6840244,,SMD 2B02,ANC 2B
-77.0372075947478,38.9053426334141,NATIONAL GEOGRAPHIC SOCIETY HEADQUARTERS,1600 M STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,7595,302627,,,,,,,2006/08/25 12:38:05+00,OCTO GIS,,,,658911,6878906,,SMD 2C02,ANC 2C
-77.0469371664484,38.9117755038038,PHILLIPS COLLECTION,1612 21ST STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,8392,302497,,,,,,,2007/05/10 10:21:54+00,OCTO GIS,,,,658969,6919707,,SMD 2B02,ANC 2B
-77.0450576009668,38.9138960864351,LAOGAI MUSEUM,1734 20TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,12533,285655,,,,,,,2012/09/14 13:33:51+00,DARREN,,,,659445,6792849,,SMD 2B01,ANC 2B
