congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,House,21754,71,34,CA,100,,,"GOMEZ, Jimmy",G000585,1974,,-0.55,-0.291,-32.06272,0.94183,535,15,,-0.391,-0.597
118,House,21930,71,9,CA,100,,,"HARDER, Josh",H001090,1986,,-0.362,0.597,-40.94035,0.92712,541,17,,-0.322,0.439
118,House,21939,71,49,CA,100,,,"LEVIN, Mike",L000593,1978,,-0.36,0.179,-25.48873,0.95398,541,10,,-0.334,0.111
118,House,21954,71,47,CA,100,,,"PORTER, Katie",P000618,1974,,-0.214,-0.273,-46.87044,0.91582,533,20,,-0.35,-0.424
118,House,21988,71,27,CA,200,,,"GARCIA, Mike",G000061,1976,,0.375,0.067,-89.36744,0.84799,542,40,,0.385,0.084
118,House,22126,71,51,CA,100,,,"JACOBS, Sara",J000305,1989,,-0.363,-0.483,-22.23287,0.95937,536,8,,-0.391,-0.51
118,House,22129,71,40,CA,200,,,"KIM, Young",K000397,1962,,0.261,0.349,-57.91863,0.8974,535,22,,0.256,0.446
118,House,22145,71,23,CA,200,,,"OBERNOLTE, Jay",O000019,1970,,0.31,0.275,-76.94281,0.86628,536,20,,0.294,0.256
118,House,22152,71,45,CA,200,,,"STEEL, Michelle",S001135,1955,,0.356,0.403,-59.5841,0.89516,538,18,,0.369,0.483
118,House,22317,71,13,CA,200,,,"DUARTE, John",D000633,1966,,0.368,-0.036,-97.51015,0.83423,538,30,,0.367,-0.037
118,House,22323,71,42,CA,100,,,"GARCIA, Robert",G000598,1977,,-0.44,-0.679,-22.36909,0.95942,540,8,,-0.452,-0.702
118,House,22333,71,37,CA,100,,,"KAMLAGER-DOVE, Sydney",K000400,1972,,-0.6,-0.504,-19.83161,0.96334,531,12,,-0.6,-0.504
118,House,22336,71,3,CA,200,,,"KILEY, Kevin",K000401,1985,,0.26,0.519,-48.0778,0.91497,541,17,,0.265,0.536
118,House,22354,71,15,CA,100,,,"MULLIN, Kevin",M001225,1970,,-0.549,0.148,-18.30369,0.96515,516,6,,-0.55,0.135
118,House,29106,71,43,CA,100,,,"WATERS, Maxine",W000187,1938,,-0.656,-0.079,-30.75374,0.94331,527,14,,-0.507,-0.308
118,House,29312,71,16,CA,100,,,"ESHOO, Anna Georges",E000215,1942,,-0.38,-0.399,-29.18543,0.9472,538,15,,-0.394,0.013
118,House,29323,71,41,CA,200,,,"CALVERT, Ken",C000059,1953,,0.343,0.255,-54.60746,0.90399,541,14,,0.35,0.655
118,House,29504,71,18,CA,100,,,"LOFGREN, Zoe",L000397,1947,,-0.4,-0.42,-41.65028,0.92429,529,17,,-0.325,-0.171
118,House,29707,71,32,CA,100,,,"SHERMAN, Brad",S000344,1954,,-0.344,-0.144,-23.75259,0.95681,538,6,,-0.507,-0.005
118,House,29778,71,12,CA,100,,,"LEE, Barbara",L000551,1946,,-0.677,-0.571,-20.71574,0.96019,510,8,,-0.511,-0.559
118,House,29901,71,4,CA,100,,,"THOMPSON, Michael",T000460,1951,,-0.393,0.068,-33.58499,0.93992,542,14,,-0.308,0.047
118,House,29903,71,31,CA,100,,,"NAPOLITANO, Grace Flores",N000179,1936,,-0.448,-0.244,-13.64805,0.97286,496,6,,-0.505,-0.087
118,House,20704,62,5,CO,200,,,"LAMBORN, Doug",L000564,1954,,0.667,0.231,-58.50834,0.89713,539,29,,0.686,0.319
118,House,21510,62,4,CO,200,,,"BUCK, Kenneth Robert",B001297,1959,,0.687,-0.422,-234.94901,0.63536,518,69,,0.43,-0.453
118,House,21912,62,6,CO,100,,,"CROW, Jason",C001121,1979,,-0.296,0.184,-31.75749,0.94268,538,12,,-0.416,-0.067
118,House,21948,62,2,CO,100,,,"NEGUSE, Joseph",N000191,1984,,-0.39,-0.243,-14.11969,0.97429,542,5,,-0.426,-0.04
118,House,22103,62,3,CO,200,,,"BOEBERT, Lauren",B000825,1986,,0.758,-0.536,-51.56058,0.90577,521,22,,0.717,-0.548
118,House,22306,62,8,CO,100,,,"CARAVEO, Yadira",C001134,1980,,-0.272,0.567,-50.25618,0.91145,542,19,,-0.272,0.567
118,House,22359,62,7,CO,100,,,"PETTERSEN, Brittany",P000620,1981,,-0.356,0.275,-18.1335,0.96698,540,6,,-0.356,0.273
118,House,29710,62,1,CO,100,,,"DeGETTE, Diana",D000197,1957,,-0.431,-0.303,-20.23482,0.96288,535,9,,-0.423,-0.195
118,House,20706,1,2,CT,100,,,"COURTNEY, Joe",C001069,1953,,-0.343,0.029,-27.58984,0.94983,536,11,,-0.368,0.306
118,House,20907,1,4,CT,100,,,"HIMES, James A.",H001047,1966,,-0.239,-0.224,-46.13077,0.91797,539,20,,-0.211,-0.105
118,House,21931,1,5,CT,100,,,"HAYES, Jahana",H001081,1973,,-0.362,-0.096,-24.86664,0.95499,540,12,,-0.356,-0.085
118,House,29109,1,3,CT,100,,,"DeLAURO, Rosa L.",D000216,1943,,-0.414,-0.116,-35.32155,0.93611,535,14,,-0.31,-0.214
118,House,29908,1,1,CT,100,,,"LARSON, John B.",L000557,1948,,-0.396,-0.045,-23.17011,0.95691,526,10,,-0.39,0.026
118,House,21706,11,1,DE,100,,,"BLUNT ROCHESTER, Lisa",B001303,1962,,-0.341,-0.153,-20.35625,0.96307,541,8,,-0.384,-0.179
118,House,21993,55,0,DC,100,,,"NORTON, Eleanor Holmes",N000147,1937,,-0.497,-0.056,-11.08827,0.96573,318,4,,-0.455,-0.146
118,House,20316,43,26,FL,200,,,"DIAZ-BALART, Mario",D000600,1961,,0.285,0.133,-69.89185,0.87732,534,31,,0.354,0.372
118,House,20504,43,25,FL,100,,,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.418,0.087,-23.1753,0.95791,539,8,,-0.376,0.181
118,House,20708,43,14,FL,100,,,"CASTOR, Kathy",C001066,1966,,-0.438,0.057,-13.3261,0.97517,530,6,,-0.412,0.108
118,House,20709,43,16,FL,200,,,"BUCHANAN, Vernon G.",B001260,1951,,0.362,-0.098,-82.59919,0.85365,522,38,,0.391,0.046
118,House,20758,43,12,FL,200,,,"BILIRAKIS, Gus",B001257,1963,,0.415,-0.004,-97.58816,0.83212,531,51,,0.495,0.033
118,House,20909,43,8,FL,200,,,"POSEY, Bill",P000599,1947,,0.529,-0.35,-61.87811,0.8874,518,24,,0.585,-0.467
118,House,21116,43,11,FL,200,,,"WEBSTER, Daniel A.",W000806,1949,,0.527,-0.097,-68.73228,0.88028,539,29,,0.526,-0.104
118,House,21118,43,24,FL,100,,,"WILSON, Frederica",W000808,1942,,-0.48,-0.011,-19.77434,0.9629,523,6,,-0.549,0.052
118,House,21321,43,22,FL,100,,,"FRANKEL, Lois",F000462,1948,,-0.402,-0.055,-22.08887,0.95985,539,9,,-0.466,0.23
118,House,21714,43,2,FL,200,,,"DUNN, Neal Patrick",D000628,1953,,0.506,0.369,-67.7926,0.88181,539,32,,0.52,0.432
118,House,21719,43,1,FL,200,,,"GAETZ, Matthew L. II",G000578,1982,,0.6,-0.646,-83.51915,0.85596,537,36,,0.575,-0.753
118,House,21735,43,21,FL,200,,,"MAST, Brian Jeffery",M001199,1980,,0.459,-0.355,-82.34453,0.85857,540,35,,0.458,-0.197
118,House,21744,43,5,FL,200,,,"RUTHERFORD, John Henry",R000609,1952,,0.437,0.043,-74.10977,0.87087,536,32,,0.463,0.136
118,House,21746,43,9,FL,100,,,"SOTO, Darren Michael",S001200,1978,,-0.366,0.17,-23.83857,0.95681,540,9,,-0.314,0.164
118,House,21971,43,17,FL,200,,,"STEUBE, William",S001214,1978,,0.69,-0.281,-24.87458,0.94491,439,7,,0.859,-0.252
118,House,21981,43,6,FL,200,,,"WALTZ, Michael",W000823,1974,,0.433,-0.102,-60.90493,0.88553,501,31,,0.586,0.01
118,House,22107,43,3,FL,200,,,"CAMMACK, Kat",C001039,1988,,0.588,-0.205,-48.7161,0.91265,533,18,,0.568,-0.238
118,House,22111,43,19,FL,200,,,"DONALDS, Byron",D000032,1978,,0.643,-0.211,-36.15795,0.93429,532,14,,0.68,-0.323
118,House,22116,43,18,FL,200,,,"FRANKLIN, C. Scott",F000472,1964,,0.606,0.091,-50.66211,0.91061,541,22,,0.64,0.084
118,House,22118,43,28,FL,200,,,"GIMENEZ, Carlos A.",G000593,1954,,0.333,0.081,-78.66955,0.86466,541,28,,0.36,0.11
118,House,22150,43,27,FL,200,,,"SALAZAR, Maria Elvira",S000168,1961,,0.271,0.129,-92.78831,0.83629,519,35,,0.303,0.276
118,House,22163,43,20,FL,100,,,"CHERFILUS-MCCORMICK, Sheila",C001127,1979,,-0.595,0.274,-18.42414,0.96583,530,7,,-0.54,0.096
118,House,22302,43,4,FL,200,,,"BEAN, Aaron",B001314,1967,,0.661,-0.087,-39.90492,0.92877,540,18,,0.661,-0.087
118,House,22321,43,10,FL,100,,,"FROST, Maxwell",F000476,1997,,-0.499,-0.767,-16.88457,0.96927,541,4,,-0.498,-0.766
118,House,22341,43,15,FL,200,,,"LEE, Laurel",L000597,1974,,0.391,0.417,-62.46465,0.89057,539,25,,0.391,0.416
118,House,22343,43,13,FL,200,,,"LUNA, Anna",L000596,1989,,0.614,-0.536,-31.13641,0.92687,410,13,,0.614,-0.537
118,House,22350,43,7,FL,200,,,"MILLS, Cory",M001216,1980,,0.585,-0.24,-41.87368,0.92552,541,13,,0.585,-0.241
118,House,22353,43,23,FL,100,,,"MOSKOWITZ, Jared",M001217,1980,,-0.232,0.307,-42.42627,0.92136,518,16,,-0.232,0.307
118,House,20321,44,13,GA,100,,,"SCOTT, David",S001157,1945,,-0.304,0.167,-32.1853,0.9414,533,8,,-0.492,0.532
118,House,20712,44,4,GA,100,,,"JOHNSON, Hank",J000288,1954,,-0.471,-0.02,-57.26299,0.89777,531,20,,-0.821,0.167
118,House,21123,44,8,GA,200,,,"SCOTT, Austin",S001189,1969,,0.538,0.344,-108.4189,0.8181,540,49,,0.446,0.506
118,House,21513,44,1,GA,200,,,"CARTER, Buddy",C001103,1957,,0.556,0.327,-68.68508,0.88056,540,28,,0.568,0.416
118,House,21515,44,11,GA,200,,,"LOUDERMILK, Barry D.",L000583,1963,,0.684,-0.008,-55.04588,0.901,528,27,,0.706,0.047
118,House,21516,44,12,GA,200,,,"ALLEN, Rick W.",A000372,1951,,0.698,0.283,-61.57362,0.89242,541,30,,0.665,0.438
118,House,21717,44,3,GA,200,,,"FERGUSON, Anderson Drew IV",F000465,1966,,0.598,0.201,-65.74846,0.88496,538,25,,0.579,0.351
118,House,21944,44,7,GA,100,,,"McBATH, Lucy",M001208,1960,,-0.296,0.224,-30.87451,0.9432,528,12,,-0.456,0.171
118,House,22110,44,9,GA,200,,,"CLYDE, Andrew S.",C001116,1963,,0.834,-0.059,-54.04228,0.9046,539,26,,0.983,0.185
118,House,22121,44,14,GA,200,,,"GREENE, Marjorie Taylor",G000596,1974,,0.8,-0.6,-72.91055,0.86917,520,27,,0.715,-0.413
118,House,22156,44,5,GA,100,,,"WILLIAMS, Nikema",W000788,1978,,-0.433,-0.335,-19.01397,0.96546,541,6,,-0.469,-0.237
118,House,22310,44,10,GA,200,,,"COLLINS, Mike",C001129,1967,,0.644,-0.352,-43.94172,0.92199,541,19,,0.644,-0.352
118,House,22346,44,6,GA,200,,,"MCCORMICK, Rich",M001218,1968,,0.871,0.491,-89.90667,0.84663,540,47,,0.873,0.489
118,House,29339,44,2,GA,100,,,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,-0.284,0.455,-41.9057,0.92506,538,17,,-0.343,0.362
118,House,22373,94,0,GU,200,,,"MOYLAN, James",M001219,1962,,0.394,0.272,-65.5139,0.73941,217,30,,0.394,0.271
118,House,20322,82,1,HI,100,,,"CASE, Ed",C001055,1952,,-0.198,-0.076,-42.63,0.92368,537,17,,-0.232,0.092
118,House,22369,82,2,HI,100,,,"TOKUDA, Jill",T000487,1976,,-0.431,-0.487,-18.09504,0.96717,542,5,,-0.429,-0.481
118,House,21920,63,1,ID,200,,,"FULCHER, Russell",F000469,1962,,0.639,-0.036,-57.68515,0.89886,541,20,,0.638,-0.115
118,House,29910,63,2,ID,200,,,"SIMPSON, Michael K.",S001148,1950,,0.298,0.304,-46.98231,0.91455,526,14,,0.308,0.589
118,House,20749,21,11,IL,100,,,"FOSTER, Bill",F000454,1955,,-0.233,-0.214,-33.78607,0.93946,541,11,,-0.36,0.133
118,House,20954,21,5,IL,100,,,"QUIGLEY, Mike",Q000023,1958,,-0.323,-0.257,-23.82789,0.95555,524,6,,-0.402,-0.004
118,House,21326,21,10,IL,100,,,"SCHNEIDER, Brad",S001190,1961,,-0.187,-0.142,-35.44001,0.93648,540,16,,-0.305,0.109
118,House,21371,21,2,IL,100,,,"KELLY, Robin L.",K000385,1956,,-0.466,-0.025,-17.4394,0.96619,507,9,,-0.535,-0.121
118,House,21519,21,12,IL,200,,,"BOST, Mike",B001295,1960,,0.37,0.076,-105.54174,0.82187,538,49,,0.535,0.008
118,House,21562,21,16,IL,200,,,"LaHOOD, Darin",L000585,1968,,0.459,0.217,-84.05693,0.85283,528,33,,0.453,0.218
118,House,21730,21,8,IL,100,,,"KRISHNAMOORTHI, S. Raja",K000391,1973,,-0.319,-0.03,-22.2738,0.95959,540,7,,-0.339,0.06
118,House,21906,21,6,IL,100,,,"CASTEN, Sean",C001117,1971,,-0.672,0.543,-38.48199,0.93022,532,13,,-0.768,0.508
118,House,21921,21,4,IL,100,,,"GARCÍA, Jesús",G000586,1956,,-0.427,-0.903,-23.27275,0.94992,453,12,,-0.981,-0.192
118,House,21979,21,14,IL,100,,,"UNDERWOOD, Lauren",U000040,1986,,-0.58,0.467,-34.53355,0.93749,535,12,,-0.6,-0.063
118,House,22138,21,15,IL,200,,,"MILLER, Mary E.",M001211,1959,,0.828,-0.134,-62.96089,0.88956,538,27,,0.784,0.001
118,House,22304,21,13,IL,100,,,"BUDZINSKI, Nikki",B001315,1977,,-0.313,0.468,-38.41379,0.93158,542,15,,-0.313,0.469
118,House,22330,21,1,IL,100,,,"JACKSON, Jonathan",J000309,1966,,-0.568,0.081,-22.68044,0.95819,531,11,,-0.566,0.1
118,House,22360,21,3,IL,100,,,"RAMIREZ, Delia",R000617,1983,,-0.483,-0.87,-17.34045,0.96733,522,6,,-0.483,-0.869
118,House,22365,21,17,IL,100,,,"SORENSEN, Eric",S001225,1976,,-0.237,0.207,-31.3836,0.94374,542,11,,-0.237,0.207
118,House,29717,21,7,IL,100,,,"DAVIS, Danny K.",D000096,1941,,-0.486,-0.262,-24.5357,0.95468,529,8,,-0.458,-0.219
118,House,29911,21,9,IL,100,,,"SCHAKOWSKY, Janice D.",S001145,1944,,-0.604,-0.274,-19.69913,0.96331,527,11,,-0.462,-0.495
118,House,20757,22,7,IN,100,,,"CARSON, André",C001072,1974,,-0.428,0.042,-37.6455,0.93254,539,18,,-0.333,-0.375
118,House,21132,22,8,IN,200,,,"BUCSHON, Larry",B001275,1962,,0.389,0.353,-64.61463,0.88399,524,18,,0.329,0.493
118,House,21702,22,3,IN,200,,,"BANKS, James E.",B001299,1979,,0.65,0.066,-63.37873,0.88906,539,20,,0.826,0.564
118,House,21903,22,4,IN,200,,,"BAIRD, James",B001307,1945,,0.447,0.663,-56.67612,0.90019,539,20,,0.392,0.793
118,House,21952,22,6,IN,200,,,"PENCE, Gregory",P000615,1956,,0.523,0.102,-75.51211,0.84981,464,36,,0.418,0.137
118,House,22142,22,1,IN,100,,,"MRVAN, Frank J.",M001214,1969,,-0.322,0.323,-32.26511,0.94179,538,12,,-0.344,0.395
118,House,22151,22,5,IN,200,,,"SPARTZ, Victoria",S000929,1978,,0.46,-0.182,-128.22349,0.78035,517,56,,0.503,-0.362
118,House,22171,22,2,IN,200,,,"YAKYM, Rudy, III",Y000067,1984,,0.494,0.171,-59.34196,0.89629,542,19,,0.505,0.176
118,House,22326,22,9,IN,200,,,"HOUCHIN, Erin",H001093,1976,,0.599,0.056,-47.83085,0.91553,542,21,,0.599,0.056
118,House,22113,31,4,IA,200,,,"FEENSTRA, Randy",F000446,1969,,0.463,0.195,-68.25639,0.88147,541,30,,0.488,0.195
118,House,22124,31,2,IA,200,,,"HINSON, Ashley",H001091,1983,,0.343,0.288,-51.67596,0.9089,541,17,,0.372,0.591
118,House,22139,31,1,IA,200,,,"MILLER-MEEKS, Mariannette",M001215,1955,,0.323,0.222,-75.11721,0.86786,530,33,,0.33,0.166
118,House,22356,31,3,IA,200,,,"NUNN, Zach",N000193,1979,,0.287,0.076,-115.4394,0.80592,535,49,,0.29,0.081
118,House,21750,32,4,KS,200,,,"ESTES, Ron",E000298,1956,,0.641,0.057,-53.92203,0.90412,535,26,,0.618,0.173
118,House,21914,32,3,KS,100,,,"DAVIDS, Sharice",D000629,1980,,-0.266,0.265,-34.92964,0.93748,541,10,,-0.277,0.272
118,House,22130,32,2,KS,200,,,"LATURNER, Jake",L000266,1988,,0.465,0.386,-75.90574,0.86841,538,26,,0.412,0.219
118,House,22134,32,1,KS,200,,,"MANN, Tracey",M000871,1976,,0.629,0.116,-65.75699,0.88535,540,29,,0.523,-0.046
118,House,14854,51,5,KY,200,,,"ROGERS, Harold Dallas (Hal)",R000395,1937,,0.335,0.139,-68.79667,0.87996,538,19,,0.381,0.792
118,House,20916,51,2,KY,200,,,"GUTHRIE, Brett",G000558,1964,,0.422,0.285,-72.60386,0.87463,542,32,,0.463,0.383
118,House,21333,51,6,KY,200,,,"BARR, Garland H. (Andy) IV",B001282,1973,,0.483,0.296,-60.29907,0.89208,528,19,,0.552,0.415
118,House,21565,51,1,KY,200,,,"COMER, James",C001108,1972,,0.593,-0.053,-46.65105,0.91709,539,18,,0.615,-0.166
118,House,22347,51,3,KY,100,,,"MCGARVEY, Morgan",M001220,1979,,-0.588,0.231,-10.75735,0.98035,542,1,,-0.591,0.221
118,House,31102,51,4,KY,200,,,"MASSIE, Thomas",M001184,1971,,0.678,-0.735,-102.02377,0.8249,530,40,,0.642,-0.767
118,House,20759,45,1,LA,200,,,"SCALISE, Steve",S001176,1965,,0.558,0.152,-58.81061,0.89208,515,23,,0.561,0.066
118,House,21523,45,6,LA,200,,,"GRAVES, Garret",G000577,1972,,0.427,0.038,-106.28516,0.82103,539,45,,0.371,-0.055
118,House,21724,45,3,LA,200,,,"HIGGINS, Clay",H001077,1961,,0.626,-0.302,-49.49543,0.91195,537,21,,0.742,-0.113
118,House,21727,45,4,LA,200,,,"JOHNSON, Mike",J000299,1972,,0.566,-0.018,-34.3869,0.93045,477,13,,0.659,-0.016
118,House,22157,45,5,LA,200,,,"LETLOW, Julia",L000595,1981,,0.414,0.466,-69.0848,0.87949,538,32,,0.389,0.36
118,House,22158,45,2,LA,100,,,"CARTER, Troy",C001125,1963,,-0.506,0.26,-19.64305,0.96434,541,6,,-0.63,0.322
118,House,20920,2,1,ME,100,,,"PINGREE, Chellie",P000597,1955,,-0.42,-0.361,-23.4095,0.95461,504,10,,-0.438,-0.144
118,House,21923,2,2,ME,100,,,"GOLDEN, Jared",G000592,1982,,-0.109,0.364,-136.65315,0.76455,509,56,,-0.093,0.377
118,House,14873,52,5,MD,100,,,"HOYER, Steny Hamilton",H000874,1939,,-0.381,0.12,-14.47428,0.97083,489,3,,-0.44,0.263
118,House,15433,52,7,MD,100,,,"MFUME, Kweisi",M000687,1948,,-0.444,-0.372,-23.07948,0.95739,530,10,,-0.391,-0.132
118,House,20329,52,2,MD,100,,,"RUPPERSBERGER, C. A. (Dutch)",R000576,1946,,-0.296,0.127,-24.65235,0.95521,538,13,,-0.33,0.032
118,House,20724,52,3,MD,100,,,"SARBANES, John",S001168,1962,,-0.466,-0.073,-18.07204,0.96629,527,9,,-0.408,-0.138
